Matrix-size Hit-rate Cold-Miss Capacity-Miss Conflict-Miss
10 0.975 75 0 0
20 0.980875 300 180 0
30 0.974457 675 1421 0
40 0.979089 1200 2640 175
50 0.976533 1875 6866 59
60 0.973693 2700 13920 427
70 0.975495 3675 22334 0
80 0.979585 4800 25920 638
90 0.976498 6075 46095 0
100 0.976659 7500 63156 0
