Matrix-size Hit-rate Cold-Miss Capacity-Miss Conflict-Miss
10 0.975 75 0 0
20 0.98125 300 196 0
30 0.980185 675 900 30
40 0.980615 1200 2400 122
50 0.981035 1875 5000 237
60 0.981727 2700 10400 0
70 0.981386 3675 14700 779
80 0.981529 4800 22400 1172
90 0.981437 6075 32400 2123
100 0.981683 7500 45000 2451
